Nom;Taille de la boite;Nb de joueurs;Temps;Categorie;Duplicata;Image
Tchin Tchin;Petit;4a8;;Soiree;2;https://www.jeuxdenim.be/images/jeux/TchinTchin_large01.jpg
Cosmic attack;Petit;3a6;;Soiree;1;https://m.media-amazon.com/images/I/61TVebb1n3L._AC_UF894,1000_QL80_.jpg
Bluff party;Petit;4a50;;Soiree, bluff;1;https://www.espritjeu.com/upload/image/bluff-party---orange-p-image-78775-grande.png
Taggle;Petit;2a5;;Soiree;1;https://choupichoupa.fr/wp-content/uploads/2023/07/TAGGLE_2.png
La boite d'apero;Petit;2a8;1h;Soiree;1;https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41CWnxU4zlL._AC_UF1000,1000_QL80_.jpg
Limite limite;Petit;3a+inf;30 min a 2h;Soiree;2;https://www.espritjeu.com/upload/image/limite-limite-p-image-75040-grande.jpg
Oriflamme;Petit;3a5;20 min;Strategie;1;https://m.media-amazon.com/images/I/816EWmXtejL._AC_UF1000,1000_QL80_.jpg
Exploding kittens;Petit;2a5;15 min;Soiree;1;https://cdn1.philibertnet.com/384580-large_default/exploding-kittens-vf.jpg
Bazar bizarre;Petit;2a8;20 min;Reflexe;1;https://www.gigamic.com/587-large_default/bazar-bizarre.jpg
Munchkin;Petit;3a8;1h;JdR;1;https://lagranderecre-lagranderecre-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/575/575/3701793ea39e6dacc23049e484a1a0252904ca76_IMG-PRODUCT-778201-1.jpeg
Munchkin extension : loot letter;;;;liee;1;https://www.ludicbox.fr/images/stories/virtuemart/product/munchkin-loot-letter-vf.jpg?auto=compress&cs=tinysrgb
Munchkin extension : 6;;;;liee;1;"https://www.fairplay-jeux.com/1587/munchkin-6-le-donjon-de-la-farce.jpg"""
Munchkin extension : Fu;;;;Independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Munchkin extension : starmunchkin;;;;Independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Munchkin extension : super munchkin;;;;Independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Schotten totten;Petit;2;20 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Pingouins;Petit;2a4;20 min;Strategie;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Citadelles : seconde edition;Petit;2a8;1h;Roles caches, strategie;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Castel;Moyen;2a5;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Condottiere : 3e edition;Petit;2a6;30a45 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Timeline inventions;Petit;2a8;15 min;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Krach;Petit;2a4;45 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mint delivery;Petit;1a5;15a30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Guillotine;Petit;2a5;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Elixir;Petit;3a8;1h;Strategie;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Elixir : extension;;;;liee;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Timeline multi-themes;Petit;2a8;15 min;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La trilogie Leopold : le pendule des morts;Petit;1a5;1h30 min;Escape game;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Black stories;Petit;2a20;2a30 min;Reflexion, coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Killer party;Petit;8a50;;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sandwich;Petit;3a6;15 min;Blabla;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Il etait une fois;Petit;2a6;30 min;Blabla;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Il etait une fois: reedition;Petit;2a6;30 min;Blabla;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Democrazy;Petit;4a10;30 min;Blabla;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Love letter;Petit;2a6;20 min;Bluff;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Check;Petit;3a6;15 min;Memoire;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Master islands;Petit;2a4;;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
13 couronnes;Petit;2a5;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Anima : l'ombre d'omega;Petit;2a5;40 min a 1h40;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ohanami;Petit;2a4;20 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Oui, seigneur des tenebres !;Petit;4a16;20a30 min;Blabla, JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Oui, seigneur des tenebres ! : 2e edition;Petit;4a16;20a30 min;Blabla, JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Catham city;Petit;2a6;45 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Lunch money;Petit;2a6;10a20 min;Jeux de Cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Monopoly deal;Petit;2a5;15 min;Jeux de Cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dobble;Petit;2a+inf;5a10 min;Reflexe;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
The mind;Petit;2a4;20 min;coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
The game;Petit;1a5;20 min;coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Star realms;Petit;3 ou plus;30min a 1h;Deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Petits meurtres;Petit;4a7;45 min;Roles caches, blabla;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fantasy extension : 2;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Peanut club;Moyen;3a6;20 min;Bluff, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Boite a enigmes;Petit;2a12;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jungle speed;Petit;4a8;20 min;Reflexe;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Perudo;Petit;2a6;30 min;Bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les loups garous de Tiercelieux;Petit;7a40;;Roles caches, bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Loup garou pour une nuit : epic battle;Petit;3a10;10 min;Roles caches, bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Times up family;Petit;4 a plus;20 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Times up;Petit;4 a plus;20 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La boite a enigmes;Petit;3a13;20 min a 1h;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Contrario;Petit;2a6;;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Shadow hunters;Moyen;4a8;30 min;Roles caches;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Wanted !;Petit;4a7;20a40 min;Roles caches, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Wanted ! : l'integrale;Moyen;3a8;20a40 min;Roles caches, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Innovation;Petit;2a4;1h;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Top ten;Moyen;4a9;;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fiesta de los muertos;Moyen;4a8;15 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Shadows amsterdam;Moyen;2a8;30 min;Plateau, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Roll for the galaxy extension : ambition;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Creatures & cultistes;Petite;3a5;;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Decrypto;Moyen;3a8;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Champ d'honneur;Moyen;2a4;45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Just one;Moyen;3a7;20 min;Soiree, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Paper tales;Moyen;2a5;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
OleMains !;Petit;4a16;20 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
baiam;Moyen;1a4;45 min;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Carcassonne;Moyen;2a5;35 min;Plateau;3;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Trek 12 amazonie;Moyen;1a+inf;15 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Carcassonne extension 2 : marchands & batisseurs;;;;liee;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jeux videos;Moyen;2a10;;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Gosu;Moyen;2a4;20a45 min;Deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Gosu extension : kamakor;;;;Independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Code names;Moyen;2a8;15 min;Reflexion, coop;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Shamanz;Moyen;3a5;40 min;Roles caches;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Botanik;Petit;2;30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
District noir;Petit;2;15 min;Jeux de cartes, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Six pieds sous terre;Petit;3a5;45 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Demon worker;Moyen;3a4;45 min;Strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
L'or des dragons;Moyen;3a6;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Draco & co;Moyen;3a6;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sans foi ni loi;Moyen;3a6;1h;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fantasy pub;Petit;2a5;20a40 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Legendes de Camelot;Moyen;2a4;1h a 1h30 min;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Welcome to your perfect home;Moyen;1a100;25 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Minivilles;Moyen;2a4;30 min;Strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Killer;Petit;3a+inf;WE;JdR, jeux de cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders duel;Moyen;2;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders duel extension : pantheon;;;;liee;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders duel extension : agora;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Complices;Grand;2;20 min;Coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Century;Grand;2a5;30 a 45;Gestion, deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
L'ile interdite;Moyen;2a4;30 min;Coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Calico;Grand;1a4;30a45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La legende des cinq anneaux;Grand;2;45min a 1h30;Jeux de cartes, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Akropolis;Grand;2a4;25 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tsuro;Grand;2a8;15a20 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Arena for the gods !;Grand;2a6;30 min;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jamaica;Grand;2a6;30 min a 1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Skaal;Grand;3a6;1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders;Grand;2a7;30 min;Strategie, gestion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders extension : pack;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
7 Wonders extension : babel;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
