Nom;Taille de la boite;Nb de joueurs;Temps;Categorie;Duplicata;Image
The hunger;Grand;2a6;1h;Plateau, deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Abalone;Grand;2;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Pylos;Grand;2;10 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Triominos;Grand;1a4;20 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Diaballik;Grand;2;20 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Zombicide saison 3 : rue morgue;Grand;1a12;1h;Coop, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Quarto;Grand;2;10a20 min;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Magic Maze;Grand;1a8;15 min;Coop, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Magic Maze extension : maximum security;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Zombies : la blonde, la brute et le truand;Grand;3a6;1h;Strategie;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Le donjon de naheulbeuk;Grand;3a6;1h;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mahjong;Moyen;1a4;10 min;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Shogi;Petit;2;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Aeon's end;Grand;1a4;1h;Coop, deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Imaginarium;Grand;2a5;1h30 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Terraforming mars;Grand;1a5;1h30 min a 2h;Plateau, strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Destinies;Grand;1a3;2h a 2h30 min;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Captain sonar;Grand;2a8;45 min;Coop, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Boutiques a Venise;Grand;3a5;1h;Roles caches, bluff, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dominion;Grand;2a4;30 min;Deck building;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les demeures de l'epouvante;Grand;1a5;2a3h;JdR, coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les demeures de l'epouvante extension : les rues d'Arkham;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jungle speed geant;Moyen;4a8;20 min;Reflexe;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Morfals;Grand;2;;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les loups garous de Tiercelieux : le pacte;Grand;6a40;;Roles caches;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Senji;Grand;3a6;1h30 min;Plateau, gestion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Pandemie;Grand;2a4;45 min;Coop, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les inventeurs;Grand;2a5;40 min;Gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Pandemie extension : au seuil de la catastrophe;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ricochet robots;Grand;1a+inf;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
echecs electroniques;Grand;1a2;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Go;Grand;2;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mystere de l'abbaye;Grand;3a6;1h a 1h30 min;Plateau, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Archipelago;Grand;2a5;30 min a 4h;Gestion, plateau, semi-cooperatif;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sagrada;Grand;1a4;40 min;Reflexion, joli;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Agricola;Grand;1a5;30 min/joueur;Gestion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Identik;Grand;3 ou plus;45 min;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Disque-monde : ankh-morpork;Grand;2a5;1h;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Newton;Grand;1a4;1h30 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Objets trouves;Grand;4a9;45 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Deluges;Grand;3a4;1h30 min;Plateau, raciste;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Room-25;Grand;1a6;30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Seasons;Grand;2a4;1h;Deck building, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La fureur des dieux;Grand;3a6;45 min;Strategie, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
King of New York;Grand;2a6;40 min;Strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Detective : un jeu d'enquete moderne;Grand;1a5;2a3h;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tzolk'in : le calendrier maya;Grand;2a4;1h30 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Catan;Grand;3a4;1h15 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Andor;Grand;2a4;1h a 1h30 min;JdR, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Galaxy trucker;Grand;2a4;1h;Gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Galaxy trucker extension : la grosse extension;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Khora;Grand;2a4;1h15 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fantasy;Petit;2a4;15 min;Deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Wingspan;Grand;1a5;1h;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Kingdomino;Grand;2a4;15 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dracula;Grand;2;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Hit z road;Grand;2a4;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cash'n guns;Grand;4a6;30 min;Bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cash'n guns extension : team spirit;;4a9;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cash'n guns extension : more cash and more guns;;4a8;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Inis : au coeur des legendes celtiques;Grand;2a4;1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cash'n guns : second edition;Grand;4a6;30 min;Bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Oh capitaine !;Moyen;3a6;20 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Verone;Petit;2a5;;Strategie, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Nomades;Moyen;2a5;40 min;Strategie, gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Othello;Grand;2;;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Notre dame;Grand;2a5;45 min a 1h15 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ethnos;Grand;2a6;45 min a 1h;Gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sharur evolutions;Grand;3a6;1h30 min;Gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Five tribes;Grand;2a4;40 min a 1h20;Plateau, gestion, deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Santorini;Grand;2a4;5 min;Reflexion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Eternity 2;Grand;1;inf;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les tavernes de la vallee profonde;Grand;2a4;1h;Deck building, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dungeon twister;Grand;2;45 min;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Alchimistes;Grand;2a4;2h;Gestion, strategie, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sherlock holmes;Grand;1a8;1h30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Kahuna;Moyen;2;30a40 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dice town;Grand;2a5;30a45 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La boite a enquetes criminelles;Moyen;3a13;30 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dice forge extension : rebellion;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Splendor;Grand;2a4;30 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Sang rancune;Grand;3a6;40 min;Semi-coop, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Romeo & Juliette;Moyen;2;30 min;Coop, JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
5-minute dungeon;Grand;2a5;5 min;Coop, jeux de cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
When I dream;Grand;4a10;30 min;Reflexion, joli;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Illuminati;Grand;2a6;2h;Deck building;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Medina : les architectures du desert;Grand;2a4;1h;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Puerto rico;Grand;2a5;1h30 min a 2h30 min;Gestion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cerbere;Grand;3a7;45 min;Semi-coop, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Arcanum;Grand;3a5;1h30 min;Strategie, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
PowerStruggle;Grand;3a5;1h30 min a 2h;Plateau, strategie, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cranium;Grand;4 ou plus;1h;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
EVO : la dure vie des dinosaures;Grand;3a5;1a2h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cappuccino;Grand;2a4;15 min;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
L'ile au tresor;Grand;2a5;45 min;Strategie, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Caylus;Grand;2a5;1h a 2h30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Compatibility;Grand;3a6;;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Himalaya;Grand;3a4;1h30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les aventuriers du rail;Grand;2a5;30 min a 1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Colt express;Grand;2a6;40 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ghost stories;Grand;1a4;1h;Coop, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dead or winter: la nuit la plus longue;Grand;2a5;1a2h;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Meeple circus;Grand;2a5;45 min;Adresse;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
CS files;Grand;4a12;20 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ishtar;Grand;2a4;45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cite;Grand;3a4;45 min a 1h30 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Armada 3;Grand;2a4;1h30 min;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Questions pour un champion;Grand;2a5;;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
The crew;Petit;3a5;20 min;Coop, jeux de cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Diplomacy;Grand;2a7;Tres long;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Full metal planete;Grand;2a4;;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
World in flames;Grand;1a6;;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La foi et le glaive;Grand;6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
The age of the rag'narok : confrontation;Grand;2;30 min;Strategie, figurines;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dix petits indiens;Grand;2a4;;Reflexion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
SPQR;Grand;1a4;15a20 min;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Rummikub;Grand;2a4;15 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cluedo ?;Grand;2a6;45 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Baron;Grand;2a5;1h15 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tintin et le piege du totem dhor;Grand;2a4;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Trivia game;Grand;3 ou plus;;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Harry Potter a l'ecole des sorciers;Grand;3a6;;Reflexion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ave Cesar;Grand;3a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Vinci;Grand;3a6;2h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Blood bowl;Grand;2;;Strategie, plateau, figurines;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tigre et Euphrate;Grand;2a4;1a2h;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fantasy warriors;Grand;2 ou plus;;Strategie, figurines;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Acquire;Grand;2a6;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
1001 lapins;Petit;3a6;20 min;Jeux de cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
L'age des dieux;Grand;3a5;1h30 min;Deck building, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Britannia;Grand;3a5;3a4h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Grands strateges;Grand;2;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Vengeance a Chicago;Grand;2a4;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jarnac !;Grand;2 ou 4;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Terrain vague;Grand;2a4;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
SuperGang;Grand;2a5;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Space crusade : l'ultime rencontre;Grand;;;Plateau, figurines;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Res publica : romana;Grand;3a6;;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Civilisation;Grand;2a7;;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Armada;Grand;2a4;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Guerriers des etoiles;Grand;2 ou plus;1h30 min a 3h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Le gang des traction-avant;Grand;4a6;1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Barbe noire : la vraie vie des pirates;Grand;1a4;2a4h;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Le mot le plus long;Grand;2a8;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Fief 2;Grand;3a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mare nostrum;Grand;3a5;2h;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Risk;Grand;2a6;Tres long;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mediterranee;Grand;2a4;;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dune;Grand;2a6;2a3h;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Presidents les directeurs generaux;Grand;2a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Long cours;Grand;3a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Hero quest;Grand;;;JdR;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Railway rivals;Grand;2a6;1h30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La conquete du monde;Grand;3a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Federation and empire;Grand;2a8;4h;Chiant a lire;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Terraforming mars extension : colonies;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Terraforming mars extension : prelude;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Terraforming mars extension : venus next;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Citadelles : 1ere edition;Petit;2a7;45 min;Roles caches, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Scrabble;Moyen;2a4;1h;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Scrabble deluxe;Grand;2a4;1h;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mastermind challenge;Grand;2;10 min;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Junta;Grand;2a7;2a4h;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cafe inetrnational;Grand;2a4;30a45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Ave tenebrae;Grand;2a4;1h;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Renaissance;Grand;3a6;3h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Rencontre cosmique;Grand;2a4;;Plateau;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Risk 2210 A.D.;Grand;2a5;Long;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
La vallee des mammouths;Grand;2a6;1a2h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Foot mania;Grand;2a4;;Plateau, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Formule de;Grand;1a10;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Afrika;Grand;2 ou plus;2a12h;Gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Colossum;Grand;3a5;1h a 1h30 min;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Pandemie : vieille version;Grand;2a4;45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Petite malette de poker;Grand;2a+inf;;Jeux de Cartes;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Grande malette de poker;Grand;2a+inf;;Jeux de Cartes;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Maxi bourse;Grand;2a6;;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Zargos;Grand;2a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Droids;Grand;1a4;;Reflexion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
James bond 007 : le jeu;Grand;2a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Cry Havoc;Grand;2 ou plus;;Gestion, plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Le lievre et la tortue;Grand;2a6;1h;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Starfun;Grand;2a8;;Plateau, strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
It's a wonderful world extension : corruption and ascension;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Hacker;Grand;3a6;1h30 min a 2h30 min;Jeux de cartes;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Desert victory;Grand;;;Strategie;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Le zakhia;Grand;2a4;;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Zuma;Grand;3a6;;Reflexe, reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Excalibur;Grand;2a6;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Les dieux nomades;Grand;2a3;;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Not alone extension : exploration;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Res arcana extension : lux et tenebrae;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jeu de 52;Petit;1a+inf;;Cartes;12;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Jeu de 32;Petit;1a+inf;;Cartes;4;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Tarot;Petit;3 a 5;;Cartes;7;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Avalon;;;;;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Celestia;Moyen;2a6;30 min;Bluff;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Deep Sea Adventure;Petit;2a6;30 min;Cooperation;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
